datetime,horas vuelo,Delayed flights,Mins delayed,Max,Min
2018-10-01,147,8,28,53,10
2018-10-02,132,13,15,60,1
2018-10-03,108,13,17,52,2
2018-10-04,125,6,32,55,5
2018-10-05,117,11,23,58,1
2018-10-06,115,11,28,55,4
2018-10-07,104,13,30,49,1
2018-10-08,122,0,17,54,9
2018-10-09,148,4,27,55,5
2018-10-10,104,6,16,50,5
2018-10-11,111,10,16,54,7
2018-10-12,138,15,28,48,1
2018-10-13,146,3,23,48,8
2018-10-14,125,3,21,53,3
2018-10-15,120,12,34,48,5
2018-10-16,112,14,27,46,4
2018-10-17,140,1,25,60,3
2018-10-18,147,9,28,56,3
2018-10-19,146,13,33,55,3
2018-10-20,145,11,20,55,7
2018-10-21,106,3,30,55,9
2018-10-22,141,10,27,50,5
2018-10-23,138,0,34,49,1
2018-10-24,135,12,25,50,5
2018-10-25,144,10,25,49,9
2018-10-26,126,9,20,58,1
2018-10-27,121,3,33,53,1
2018-10-28,102,6,20,46,10
2018-10-29,140,6,25,58,4
2018-10-30,129,2,20,56,1
2018-10-31,134,8,25,48,8
2018-11-01,123,14,24,51,7
2018-11-02,124,5,30,48,5
2018-11-03,146,11,35,48,7
2018-11-04,121,13,23,53,9
2018-11-05,145,4,15,46,2
2018-11-06,128,7,19,55,10
2018-11-07,145,4,35,59,10
2018-11-08,103,3,19,57,5
2018-11-09,112,3,34,52,6
2018-11-10,144,0,15,53,2
2018-11-11,111,11,21,48,9
2018-11-12,140,6,28,58,10
2018-11-13,124,2,29,49,6
2018-11-14,115,10,26,56,2
2018-11-15,109,9,33,47,9
2018-11-16,101,10,21,59,6
2018-11-17,109,2,35,47,5
2018-11-18,142,9,34,58,9
2018-11-19,101,15,29,49,9
2018-11-20,115,6,28,55,7
2018-11-21,130,5,28,60,1
2018-11-22,120,9,31,53,3
2018-11-23,140,9,29,58,2
2018-11-24,116,0,25,58,1
2018-11-25,104,9,17,50,4
2018-11-26,111,11,29,51,9
2018-11-27,120,11,25,59,5
2018-11-28,102,8,23,49,1
2018-11-29,106,7,29,49,9
2018-11-30,145,2,31,55,2
2018-12-01,147,0,25,45,6
2018-12-02,120,7,27,55,2
2018-12-03,134,1,29,59,8
2018-12-04,132,2,28,49,3
2018-12-05,124,6,26,49,9
2018-12-06,141,3,32,60,5
2018-12-07,131,7,24,54,6
2018-12-08,123,3,20,59,3
2018-12-09,126,4,27,58,8
2018-12-10,148,6,29,56,8
2018-12-11,132,7,18,46,3
2018-12-12,129,5,23,60,4
2018-12-13,149,12,35,49,3
2018-12-14,122,5,15,59,5
2018-12-15,115,6,25,57,9
2018-12-16,106,1,32,47,10
2018-12-17,148,8,24,51,10
2018-12-18,105,2,32,50,3
2018-12-19,115,8,24,50,7
2018-12-20,125,6,25,48,8
2018-12-21,149,13,24,55,5
2018-12-22,121,11,34,56,7
2018-12-23,150,12,31,59,5
2018-12-24,136,13,19,47,6
2018-12-25,124,4,30,58,5
2018-12-26,112,14,27,59,1
2018-12-27,106,10,19,47,10
2018-12-28,137,9,15,56,2
2018-12-29,129,3,28,48,6
2018-12-30,138,13,24,54,3
2018-12-31,132,10,19,48,10
2019-01-01,129,12,15,50,2
2019-01-02,103,12,29,50,3
2019-01-03,101,14,35,57,7
2019-01-04,116,6,27,49,6
2019-01-05,107,15,32,51,8
2019-01-06,135,9,29,58,9
2019-01-07,100,11,21,54,1
2019-01-08,141,15,25,52,7
2019-01-09,121,11,34,60,6
2019-01-10,137,1,23,52,3
2019-01-11,128,12,34,47,1
2019-01-12,119,11,17,51,1
2019-01-13,101,10,26,47,2
2019-01-14,143,11,25,46,3
2019-01-15,116,0,32,47,3
2019-01-16,146,7,19,55,3
2019-01-17,140,3,25,60,2
2019-01-18,136,6,18,49,2
2019-01-19,113,12,19,45,4
2019-01-20,111,6,19,47,7
2019-01-21,127,5,20,57,9
2019-01-22,130,4,34,50,5
2019-01-23,114,5,16,51,10
2019-01-24,108,9,25,45,10
2019-01-25,142,1,32,56,10
2019-01-26,110,15,21,53,3
2019-01-27,111,4,22,60,8
2019-01-28,117,5,20,58,6
2019-01-29,141,0,25,46,5
2019-01-30,119,5,24,58,3
2019-01-31,124,4,24,47,3
2019-02-01,130,15,16,59,4
2019-02-02,112,11,25,45,2
2019-02-03,107,10,34,60,6
2019-02-04,150,12,30,51,2
2019-02-05,104,13,25,53,6
2019-02-06,121,9,19,56,1
2019-02-07,126,4,19,58,3
2019-02-08,140,3,32,47,9
2019-02-09,134,1,17,53,8
2019-02-10,137,15,33,50,4
2019-02-11,129,3,20,46,10
2019-02-12,148,8,33,52,7
2019-02-13,149,5,22,57,8
2019-02-14,136,8,32,55,10
2019-02-15,139,0,24,46,3
2019-02-16,146,4,19,58,2
2019-02-17,107,12,23,53,8
2019-02-18,111,8,34,48,8
2019-02-19,123,14,27,45,10
2019-02-20,146,13,21,47,3
2019-02-21,134,4,29,52,9
2019-02-22,136,5,17,55,3
2019-02-23,140,3,23,58,3
2019-02-24,118,6,18,49,10
2019-02-25,117,11,30,53,9
2019-02-26,132,10,35,59,7
2019-02-27,100,3,15,45,2
2019-02-28,137,10,18,59,2
2019-03-01,103,7,33,47,5
2019-03-02,143,15,27,48,10
2019-03-03,115,12,22,53,10
2019-03-04,125,3,17,59,7
2019-03-05,147,4,27,47,7
2019-03-06,145,4,27,49,2
2019-03-07,144,13,24,48,5
2019-03-08,130,1,35,48,8
2019-03-09,128,9,20,47,1
2019-03-10,116,10,28,46,1
2019-03-11,139,1,27,51,3
2019-03-12,146,1,16,56,9
2019-03-13,101,10,23,52,9
2019-03-14,145,1,32,50,8
2019-03-15,132,11,28,50,8
2019-03-16,125,2,15,55,2
2019-03-17,117,0,16,60,1
2019-03-18,135,11,22,51,10
2019-03-19,148,3,17,50,3
2019-03-20,103,3,21,55,6
2019-03-21,150,12,15,50,6
2019-03-22,108,0,33,47,6
2019-03-23,141,8,25,45,6
2019-03-24,125,13,18,51,6
2019-03-25,138,3,29,53,7
2019-03-26,139,11,33,54,4
2019-03-27,136,4,34,54,9
2019-03-28,135,6,30,47,5
2019-03-29,115,3,20,48,3
2019-03-30,120,10,34,49,2
2019-03-31,143,8,15,52,4
2019-04-01,105,9,16,60,1
2019-04-02,117,3,24,54,4
2019-04-03,111,11,31,51,2
2019-04-04,140,13,23,56,6
2019-04-05,130,15,35,49,9
2019-04-06,125,11,25,59,1
2019-04-07,133,0,21,55,10
2019-04-08,110,7,26,46,5
2019-04-09,105,2,19,56,8
2019-04-10,133,6,24,59,10
2019-04-11,113,15,33,60,3
2019-04-12,129,4,26,49,1
2019-04-13,110,9,35,53,7
2019-04-14,146,15,26,46,9
2019-04-15,109,11,18,47,8
2019-04-16,115,15,17,57,5
2019-04-17,102,8,24,57,5
2019-04-18,143,0,28,56,2
2019-04-19,125,9,21,59,2
2019-04-20,143,12,29,55,7
2019-04-21,115,12,15,51,4
2019-04-22,144,9,35,53,5
2019-04-23,138,7,17,52,3
2019-04-24,139,7,22,51,9
2019-04-25,128,14,21,48,9
2019-04-26,120,11,28,60,1
2019-04-27,129,2,28,53,6
2019-04-28,117,9,32,60,8
2019-04-29,107,9,31,51,2
2019-04-30,120,10,32,54,1
2019-05-01,131,9,21,56,5
2019-05-02,143,4,33,56,3
2019-05-03,139,15,32,57,7
2019-05-04,147,7,33,51,4
2019-05-05,125,7,15,46,10
2019-05-06,119,2,17,54,4
2019-05-07,116,9,23,55,10
2019-05-08,133,11,26,58,4
2019-05-09,124,11,34,54,7
2019-05-10,114,2,17,49,3
2019-05-11,115,0,30,54,2
2019-05-12,119,14,30,47,1
2019-05-13,121,1,31,49,8
2019-05-14,101,10,29,50,5
2019-05-15,109,14,34,47,5
2019-05-16,133,5,17,55,5
2019-05-17,125,14,24,49,1
2019-05-18,107,12,24,52,8
2019-05-19,118,14,24,45,10
2019-05-20,126,9,35,52,10
2019-05-21,129,10,29,46,9
2019-05-22,123,1,20,53,8
2019-05-23,108,14,21,48,7
2019-05-24,108,2,33,49,4
2019-05-25,128,4,31,51,6
2019-05-26,144,13,29,58,5
2019-05-27,121,4,24,60,6
2019-05-28,117,9,16,47,1
2019-05-29,127,13,32,55,8
2019-05-30,119,14,23,48,9
2019-05-31,147,0,27,60,10
2019-06-01,125,7,22,46,7
2019-06-02,142,7,34,56,2
2019-06-03,100,11,26,60,2
2019-06-04,100,3,35,48,5
2019-06-05,138,6,27,48,8
2019-06-06,147,13,22,57,2
2019-06-07,106,1,15,60,2
2019-06-08,136,11,34,46,4
2019-06-09,140,0,25,55,4
2019-06-10,114,15,28,47,10
2019-06-11,126,11,20,56,6
2019-06-12,148,9,20,58,10
2019-06-13,133,2,24,48,8
2019-06-14,116,15,23,56,2
2019-06-15,110,13,20,54,1
2019-06-16,127,14,34,50,9
2019-06-17,103,9,22,60,5
2019-06-18,119,0,24,54,9
2019-06-19,137,12,28,55,9
2019-06-20,143,14,20,52,6
2019-06-21,130,8,20,54,10
2019-06-22,146,7,20,60,8
2019-06-23,139,15,23,52,9
2019-06-24,105,7,20,59,4
2019-06-25,101,6,15,47,4
2019-06-26,130,1,28,56,10
2019-06-27,117,15,32,47,4
2019-06-28,141,4,19,54,7
2019-06-29,103,5,24,57,6
2019-06-30,112,3,32,45,10
2019-07-01,115,0,35,51,6
2019-07-02,125,13,24,53,6
2019-07-03,121,4,26,56,7
2019-07-04,147,8,30,47,8
2019-07-05,150,13,31,56,6
2019-07-06,131,10,22,53,10
2019-07-07,125,5,15,51,8
2019-07-08,109,5,20,56,10
2019-07-09,109,13,19,51,7
2019-07-10,104,12,23,49,2
2019-07-11,114,1,15,57,9
2019-07-12,100,14,32,50,7
2019-07-13,107,6,16,58,3
2019-07-14,140,2,18,58,2
2019-07-15,131,6,29,46,8
2019-07-16,131,1,34,50,9
2019-07-17,114,12,27,46,2
2019-07-18,108,13,15,59,5
2019-07-19,142,5,33,54,6
2019-07-20,118,5,19,57,3
2019-07-21,131,10,25,50,2
2019-07-22,127,13,20,53,3
2019-07-23,110,5,31,48,9
2019-07-24,141,12,29,53,2
2019-07-25,132,15,33,45,8
2019-07-26,117,12,32,48,8
2019-07-27,118,9,28,59,9
2019-07-28,135,10,21,46,2
2019-07-29,139,15,35,58,5
2019-07-30,102,12,21,54,3
2019-07-31,106,7,17,56,7
2019-08-01,119,14,26,47,9
2019-08-02,134,8,22,54,6
2019-08-03,125,7,16,51,7
2019-08-04,122,1,29,48,2
2019-08-05,124,7,20,60,7
2019-08-06,111,8,26,48,10
2019-08-07,105,2,25,54,7
2019-08-08,127,12,18,48,5
2019-08-09,112,13,31,46,2
2019-08-10,140,9,16,54,7
2019-08-11,109,9,15,55,5
2019-08-12,132,8,18,46,8
2019-08-13,115,8,21,55,2
2019-08-14,139,10,33,58,5
2019-08-15,136,3,23,49,6
2019-08-16,145,10,17,52,4
2019-08-17,104,15,18,46,10
2019-08-18,105,7,18,52,5
2019-08-19,118,7,21,52,2
2019-08-20,117,9,29,52,1
2019-08-21,127,3,25,58,7
2019-08-22,125,6,20,46,10
2019-08-23,110,11,15,51,1
2019-08-24,122,6,21,52,10
2019-08-25,103,12,16,49,6
2019-08-26,134,6,26,52,8
2019-08-27,111,14,25,47,2
2019-08-28,106,3,19,49,10
2019-08-29,109,12,23,56,6
2019-08-30,140,10,22,51,7
2019-08-31,107,14,33,46,8
2019-09-01,139,10,26,46,9
2019-09-02,147,10,29,54,3
2019-09-03,137,6,35,50,3
2019-09-04,109,6,24,51,1
2019-09-05,111,5,29,55,2
2019-09-06,126,3,32,53,10
2019-09-07,117,12,15,58,10
2019-09-08,149,8,15,59,8
2019-09-09,149,10,18,56,9
2019-09-10,138,14,16,54,8
2019-09-11,116,3,25,53,4
2019-09-12,125,3,34,59,7
2019-09-13,146,1,33,51,4
2019-09-14,109,5,32,54,6
2019-09-15,117,3,24,46,7
2019-09-16,103,8,17,46,3
2019-09-17,125,9,28,60,8
2019-09-18,149,2,18,47,10
2019-09-19,137,2,25,49,5
2019-09-20,108,4,28,48,4
2019-09-21,126,12,16,50,2
2019-09-22,116,9,21,53,4
2019-09-23,138,15,23,46,8
2019-09-24,148,3,15,60,2
2019-09-25,127,2,22,49,4
2019-09-26,111,13,23,57,3
2019-09-27,130,7,28,56,7
2019-09-28,129,15,25,55,9
2019-09-29,142,13,25,56,4
2019-09-30,141,15,27,59,2
2019-10-01,110,8,31,60,9
2019-10-02,123,8,17,60,4
2019-10-03,133,0,34,52,6
2019-10-04,125,6,25,51,3
2019-10-05,107,10,16,54,8
2019-10-06,141,6,18,57,1
2019-10-07,144,15,21,48,6
2019-10-08,122,13,29,45,1
2019-10-09,133,0,24,56,3
2019-10-10,113,15,18,48,8
2019-10-11,102,0,31,51,10
